content,emoji,comment,current,time
[' [NGÀY CUỐI CÙNG ĐỂ GIỮ SLOT THI NC 495K] \n Hôm nay (10/3) là HẠN CUỐI để GIỮ SLOT thi CNTT Nâng cao 495K. Nhanh tay INBOX để được hướng dẫn HOÀN THÀNH TẠI NHÀ nhé. Bạn sẽ nhận TÀI KHOẢN ÔN THI sau khi hoàn thành giữ SLOT \n Inbox Fanpage ngay nhé \n _________________________\n LỊCH THI CĐR TIN HỌC GẦN NHẤT:\n- Kỳ thi 16-17/03/2024 (Hạn nộp: sáng 13/03/2024);\n- Kỳ thi 06-07/04/2024 (Hạn nộp: sáng 03/04/2024);\n Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang/'],"['Tất cả, 7', 'Thích, 3', 'Yêu thích, 2', 'Thương thương, 2']",[],1182,"Chủ Nhật, 10 Tháng 3, 2024 lúc 08:30"
[' [ĐẾM NGƯỢC CÒN 1 NGÀY ĐẾN HẠN CUỐI GIỮ SLOT THI NC 495K] \n CHỈ CÒN 1 NGÀY đến hạn cuối GIỮ SLOT thi CNTT Nâng cao 495K là 10/3/2024. Nhanh tay đăng ký để nhận ngay TÀI KHOẢN ÔN THI sau khi hoàn thành giữ SLOT \n Inbox Fanpage ngay để được hướng dẫn HOÀN THÀNH TẠI NHÀ nhé \n _________________________\n LỊCH THI CĐR TIN HỌC GẦN NHẤT:\n- Kỳ thi 16-17/03/2024 (Hạn nộp: sáng 13/03/2024);\n- Kỳ thi 06-07/04/2024 (Hạn nộp: sáng 03/04/2024);\n Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang/'],"['Tất cả, 10', 'Thích, 5', 'Yêu thích, 3', 'Thương thương, 2']",[],2138,"Thứ bảy, 9 Tháng 3, 2024 lúc 08:17"
[' [ĐẾM NGƯỢC CÒN 2 NGÀY ĐẾN HẠN CUỐI GIỮ SLOT THI NC 495K] \n Hạn cuối GIỮ SLOT thi CNTT Nâng cao 495K là 10/3/2024. Nhanh tay đăng ký để nhận ngay TÀI KHOẢN ÔN THI sau khi hoàn thành giữ SLOT \n Inbox Fanpage ngay để được hướng dẫn nhé \n _________________________\n LỊCH THI CĐR TIN HỌC GẦN NHẤT:\n- Kỳ thi 16-17/03/2024 (Hạn nộp: sáng 13/03/2024);\n- Kỳ thi 06-07/04/2024 (Hạn nộp: sáng 03/04/2024);\n Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang/'],"['Tất cả, 10', 'Thích, 6', 'Yêu thích, 3', 'Thương thương, 1']",[],3130,"Thứ Sáu, 8 Tháng 3, 2024 lúc 15:33"
"[' [KHAI GIẢNG ENGLISH BOOSTER - MỪNG NGÀY 8/3 CÙNG FLIC] \n Happy International Women\'s Day \n FLIC cũng đã có những khoảnh khắc thú vị cùng các học viên của khóa học English Booster trong buổi GẶP MẶT ĐỊNH HƯỚNG và cùng các bạn chào đón một ngày 8/3 vô cùng ý nghĩa \n FLIC hy vọng bạn sẽ luôn rạng rỡ với phiên bản ""hiện tại"" và tỏa sáng hơn với phiên bản ""tương lai"" ']","['Tất cả, 18', 'Thích, 8', 'Yêu thích, 7', 'Thương thương, 3']",[],4102,"Thứ Sáu, 8 Tháng 3, 2024 lúc 08:58"
"[' [CHÀO MỪNG 8/3 CÙNG FLIC] \n Nhân dịp chào đón ngày Quốc tế Phụ nữ 8/3, hãy cùng FLIC khám phá một số tính từ tiếng Anh hay để gửi lời chúc đến phái đẹp nhé ']","['Tất cả, 19', 'Thích, 10', 'Yêu thích, 7', 'Thương thương, 2']",[],5065,"Thứ Năm, 7 Tháng 3, 2024 lúc 16:56"
[' [THI CNTT CƠ BẢN ĐỒNG GIÁ 300K] \n Lệ phí thi CNTT Cơ bản ĐỒNG GIÁ ở mức 300K. Nhận ngay bộ VIDEO BÀI GIẢNG lớp CB FREE sau khi nộp hồ sơ đăng ký \n Inbox Fanpage ngay để được hướng dẫn nhé \n _________________________\n LỊCH THI CĐR TIN HỌC GẦN NHẤT:\n- Kỳ thi 16-17/03/2024 (Hạn nộp: sáng 13/03/2024);\n- Kỳ thi 06-07/04/2024 (Hạn nộp: sáng 03/04/2024);\n Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang/'],"['Tất cả, 9', 'Yêu thích, 5', 'Thích, 2', 'Thương thương, 2']",[],5837,"Thứ Năm, 7 Tháng 3, 2024 lúc 09:56"
[' [ĐĂNG KÝ GIỮ SLOT THI CNTT NÂNG CAO] \n Hạn cuối GIỮ SLOT thi CNTT Nâng cao 495K là 10/3/2024. Nhanh tay đăng ký để nhận ngay TÀI KHOẢN ÔN THI sau khi hoàn thành giữ SLOT \n Inbox Fanpage ngay để được hướng dẫn nhé \n _________________________\n LỊCH THI CĐR TIN HỌC GẦN NHẤT:\n- Kỳ thi 16-17/03/2024 (Hạn nộp: sáng 13/03/2024);\n- Kỳ thi 06-07/04/2024 (Hạn nộp: sáng 03/04/2024);\n Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang/'],"['Tất cả, 12', 'Thích, 5', 'Yêu thích, 5', 'Thương thương, 2']",[],6768,"Thứ Tư, 6 Tháng 3, 2024 lúc 09:26"
"[' [HẠN CUỐI ĐĂNG KÝ KHÓA HỌC FREE ""ENGLISH BOOSTER""] \n Khóa học gồm 3 cấp độ: Catchy English (Beginner Level) - Elementary English (Basic Level) - Intermediate English (High Level) để bạn lựa chọn.\n Đăng ký khi điền form: https://forms.gle/2DkTq2qvUibHK8sn9 hoặc QUÉT MÃ QR\n Hạn cuối đăng ký khóa học: 20:00 ngày 05/03/2024 (thứ 3)\n Thời gian khai giảng: Ngày 11/03/2024\n Inbox Fanpage ngay để được hướng dẫn nhé ']","['Tất cả, 10', 'Yêu thích, 6', 'Thích, 2', 'Thương thương, 2']",[],7728,"Thứ Ba, 5 Tháng 3, 2024 lúc 09:24"
"[' [ĐĂNG KÝ KHÓA HỌC FREE ""ENGLISH BOOSTER"" VỚI MR. MICHAEL] \n Khóa học gồm 3 cấp độ: Catchy English (Beginner Level) - Elementary English (Basic Level) - Intermediate English (High Level) để bạn lựa chọn.\n Đăng ký khi điền form: https://forms.gle/2DkTq2qvUibHK8sn9 hoặc QUÉT MÃ QR\n Hạn cuối đăng ký khóa học: 20:00 ngày 05/03/2024 (thứ 3)\n Thời gian khai giảng: Ngày 11/03/2024\n Inbox Fanpage ngay để được hướng dẫn nhé ']","['Tất cả, 15', 'Thích, 10', 'Yêu thích, 5']",[],8667,"Thứ Hai, 4 Tháng 3, 2024 lúc 09:08"
"[' [KHÓA HỌC PRE-TOEIC CHÍNH THỨC KHAI GIẢNG ĐỢT 1] \n Vào các ngày 26-27/02/2024, các lớp PRE-TOEIC đầu tiên của năm 2024 chính thức bắt đầu hành trình 2,5 tháng học tập nhằm chinh phục 450+ TOEIC. \n Khóa học PRE-TOEIC sẽ tiếp tục khai giảng vào 18/03/2024 (Đợt 2). Inbox Fanpage để đăng ký học vì SLOT CÓ HẠN\n Khóa học FREE ""English Booster"" cùng Mr. Michael có hạn cuối đăng ký tại  https://forms.gle/2DkTq2qvUibHK8sn9 là 20:00 ngày 05/03/2024\n Inbox Fanpage ngay để được hướng dẫn nhé ']","['Tất cả, 9', 'Thích, 4', 'Yêu thích, 3', 'Thương thương, 2']",[],9573,"Thứ Sáu, 1 Tháng 3, 2024 lúc 08:55"
"[' [ĐĂNG KÝ KHÓA HỌC FREE ""ENGLISH BOOSTER"" VỚI MR. MICHAEL] \n Khóa học gồm 3 cấp độ: Catchy English (Beginner Level) - Elementary English (Basic Level) - Intermediate English (High Level) để bạn lựa chọn.\n Đăng ký khi điền form: https://forms.gle/2DkTq2qvUibHK8sn9 hoặc QUÉT MÃ QR\n Hạn cuối đăng ký khóa học: 20:00 ngày 05/03/2024 (thứ 3 tuần sau)\n Thời gian khai giảng: Ngày 11/03/2024\n Inbox Fanpage ngay để được hướng dẫn nhé ']","['Tất cả, 16', 'Thích, 7', 'Yêu thích, 7', 'Thương thương, 2']",[],10848,"Thứ Năm, 29 Tháng 2, 2024 lúc 09:49"
[' [ĐĂNG KÝ GIỮ SLOT THI CNTT NÂNG CAO] \n Lệ phí thi CNTT Nâng cao giảm mạnh ở mức 495K so với lệ phí gốc 750K với SLOT CÓ HẠN. Nhanh tay đăng ký để nhận ngay TÀI KHOẢN ÔN THI sau khi hoàn thành giữ SLOT \n Inbox Fanpage ngay để được hướng dẫn nhé \n _________________________\n LỊCH THI CĐR TIN HỌC GẦN NHẤT:\n- Kỳ thi 16-17/03/2024 (Hạn nộp: sáng 13/03/2024);\n- Kỳ thi 06-07/04/2024 (Hạn nộp: sáng 03/04/2024);\n Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang/'],"['Tất cả, 13', 'Thích, 9', 'Yêu thích, 2', 'Thương thương, 2']",[],11921,"Thứ Tư, 28 Tháng 2, 2024 lúc 10:12"
[' [HẠN CUỐI ĐĂNG KÝ ONLINE ĐỢT THI TOEIC 15/3 & 19/3/2024] \n Hạn cuối đăng ký Online cho 2 đợt thi ONLINE 15/3 và 19/3/2024 là ngày 28/2/2024. Check Mail (SPAM) chiều 29/2 để nhận thông báo về thời gian nộp hồ sơ \n ĐÃ CÓ MAIL THÔNG BÁO THỜI GIAN NỘP HỒ SƠ ĐỢT 10/3/2024. Check SPAM ngay để nộp hồ sơ các bạn nhé!\n Thời gian mở form đăng ký Online cho đợt thi cuối cùng của tháng 3 (24/3/2024) là từ 26/2 đến 7/3/2024\n Inbox Fanpage ngay để được hướng dẫn nhé \n  Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang-ngoai-ngu/'],"['Tất cả, 14', 'Thích, 9', 'Yêu thích, 3', 'Thương thương, 2']",[],12865,"Thứ Ba, 27 Tháng 2, 2024 lúc 09:43"
"[' [VINH DANH HỌC VIÊN FLIC ĐƯỢC XÉT PASS HP TIẾNG ANH] \n FLIC xin chúc mừng 54 học viên FLIC đạt thành tích cao trong đợt thi TOEIC và được xét miễn các học phần tiếng Anh (đợt 1) trong HKII (2023-2024). \n Danh sách xét miễn học phần tiếng Anh (49K đợt 1) xem tại: http://due.udn.vn/.../thongbaochitiet/id/18550/bid/456\n Thời gian KHAI GIẢNG các khóa học TOEIC : 18/03/2024\n ĐĂNG KÝ CÀNG NHIỀU, ƯU ĐÃI CÀNG LỚN - SLOT CÓ HẠN\n Đối với học TOEIC:\n- Đăng ký nhóm 2: giảm 5%/HV\n- Đăng ký nhóm 4: giảm 10%/HV \n Đối với học Tin học:\n- Đăng ký nhóm 3: Học CNTT Nâng cao: 400K/HV \n Inbox Fanpage ngay để ĐĂNG KÝ HỌC nhé - SLOT SẮP HẾT ']","['Tất cả, 16', 'Thích, 10', 'Thương thương, 4', 'Yêu thích, 2']",[],13872,"Thứ Hai, 26 Tháng 2, 2024 lúc 08:45"
"[' [NỘP HỒ SƠ THI CNTT CB & NC ĐỢT 02-03/03/2024] \n Hạn cuối nộp hồ sơ CNTT đợt thi 02-03/03 là sáng 28/02 (thứ 4). Lệ phí thi CB ĐỒNG GIÁ 300K, lệ phí thi CNTT NC giảm mạnh còn 495K (GIỮ SLOT để nhận tài liệu ôn tập sớm) \n Inbox Fanpage ngay để được hướng dẫn nhé \n _________________________\n LỊCH THI CĐR TIN HỌC GẦN NHẤT:\n- Kỳ thi 02-03/03/2024 (Hạn nộp: sáng 28/02/2024);\n- Kỳ thi 16-17/03/2024 (Hạn nộp: sáng 13/03/2024);\n Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang/']","['Tất cả, 9', 'Yêu thích, 6', 'Thích, 2', 'Thương thương, 1']",[],14932,"Thứ Sáu, 23 Tháng 2, 2024 lúc 09:07"
"[' [KHAI GIẢNG KHÓA HỌC TOEIC VÀ TIN HỌC T3/2024] \n Khóa học TOEIC và CNTT sẽ khai giảng ngay trong tháng 3/2024. \n ĐĂNG KÝ CÀNG NHIỀU, ƯU ĐÃI CÀNG LỚN - SLOT CÓ HẠN\n Đối với TOEIC:\n- Đăng ký nhóm 2: giảm 5%/HV\n- Đăng ký nhóm 4: giảm 10%/HV \n Đối với Tin học:\n- Đăng ký nhóm 3: Học CNTT Nâng cao: 400K/HV \n Inbox Fanpage ngay để ĐĂNG KÝ HỌC nhé - SLOT SẮP HẾT ']","['Tất cả, 67', 'Thích, 44', 'Yêu thích, 18', 'Thương thương, 5']",[],15891,"Thứ Tư, 21 Tháng 2, 2024 lúc 09:33"
[' [ĐĂNG KÝ GIỮ SLOT THI CNTT NÂNG CAO] \n Lệ phí thi CNTT Nâng cao giảm mạnh ở mức 495K so với lệ phí gốc 750K với SLOT CÓ HẠN. Nhanh tay đăng ký để nhận ngay TÀI KHOẢN ÔN THI sau khi hoàn thành giữ SLOT \n Inbox Fanpage ngay để được hướng dẫn nhé \n _________________________\n LỊCH THI CĐR TIN HỌC GẦN NHẤT:\n- Kỳ thi 02-03/03/2024 (Hạn nộp: sáng 28/02/2024);\n- Kỳ thi 16-17/03/2024 (Hạn nộp: sáng 13/03/2024);\n Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang/'],"['Tất cả, 9', 'Thích, 4', 'Yêu thích, 3', 'Thương thương, 2']",[],17080,"Thứ Ba, 20 Tháng 2, 2024 lúc 09:00"
"[' [ĐĂNG KÝ THI TOEIC QUỐC TẾ - ĐỢT THI OFFLINE 10/03/2024] \n Kế hoạch tổ chức thi\n Đối tượng dự thi: Sinh viên các lớp hệ chính quy và Học viên đang theo học tại DUE\n Thời gian thi: Chủ nhật, ngày 10 tháng 03 năm 2024\n Đăng ký thi: Đăng ký online tại link: https://flic.due.udn.vn/lich-khai-giang-ngoai-ngu/ (MỤC LỊCH THI TOEIC QUỐC TẾ – ĐÁP ỨNG CHUẨN ĐẦU RA NGOẠI NGỮ)\n HẠN CUỐI đăng ký Online: 22/02/2024\n Thời gian nộp hồ sơ dự thi: CHECK MAIL (Spam) chiều ngày 23/2/2024 để nhận thông báo về thời gian nộp hồ sơ trực tiếp\n Đợt thi TOEIC tiếp theo: Đợt thi ONLINE 15/03/2024\n Thời gian đăng ký Online: 19 - 28/02/2024\n Lưu ý:\n- Sinh viên/Học viên bắt buộc phải đăng ký Online, Trung tâm sẽ không tiếp nhận những hồ sơ dự thi chưa đăng ký Online\n- Sinh viên khai báo thông tin cá nhân chính xác\n Hồ sơ dự thi:\n- CMND/ Hộ chiếu/ thẻ căn cước công dân bản gốc hợp lệ và 2 bản photo (không cần công chứng).\n- Thẻ sinh viên bản gốc hợp lệ và 2 bản photo (không cần công chứng).\n- 3 ảnh kích thước 3*4 chuẩn quốc tế (sau mỗi ảnh, thí sinh tự ghi đầy đủ thông tin: Họ và tên, ngày sinh, số CMND).\n- Photo 2 Liên đăng ký dự thi: https://bit.ly/32mBAaB\n Lệ phí thi:\na. Đối tượng sinh viên:\n– Đăng ký dự thi và nhận Phiếu điểm: 982.000 đồng;\nb. Đối tượng khác: đăng ký dự thi và nhận Phiếu điểm cá nhân: 1.520.000 đồng.']","['Tất cả, 13', 'Thích, 8', 'Thương thương, 3', 'Yêu thích, 2']",[],18039,"Thứ Hai, 19 Tháng 2, 2024 lúc 08:45"
"[' [TẾT QUA, ƯU ĐÃI ĐẾN - ""HỒNG BAO"" CNTT CHỜ BẠN] \n Không đợi Tết mới có lì xì bởi FLIC luôn tràn ngập ưu đãi dành cho CNTT, đặc biệt là chương trình mới nhất với thời hạn trước 6/3/2024, với các mức học phí và lệ phí thi giảm đến 40% như: lệ phí thi Nâng cao giảm còn 495K, combo thi CB + học NC (dành cho nhóm 3 HV) chỉ 650K,... \n Được CAM KẾT ĐẠT CĐR;\n Được NHẬN NGAY tài liệu ôn thi sau khi đăng ký GIỮ SLOT;\n Được KÈM HỖ TRỢ giải đề ôn thi MIỄN PHÍ;\n Được nhận tài khoản ôn KHÔNG GIỚI HẠN số lần thi thử lý thuyết;\n Được THI Nâng cao NGAY sau thi ĐẠT Cơ bản, không cần chờ chứng chỉ;\n Đặc biệt, sau khi có điểm ĐẠT, SV được FLIC hỗ trợ chuyển hồ sơ xét CĐR trực tiếp với P.Đào tạo;\n Hãy inbox hoặc liên hệ hotline ngay khi bạn cần hỗ trợ nhé \n _________________________\n LỊCH THI CĐR TIN HỌC GẦN NHẤT:\n- Kỳ thi 02-03/03/2024 (Hạn nộp: sáng 28/02/2024);\n- Kỳ thi 16-17/03/2024 (Hạn nộp: sáng 13/03/2024);\n Link đăng kí >> https://flic.due.udn.vn/lich-khai-giang/']","['Tất cả, 9', 'Thích, 5', 'Thương thương, 3', 'Yêu thích, 1']",[],19415,"Thứ Năm, 15 Tháng 2, 2024 lúc 14:50"
