Unnamed: 0,Page_Group_ID,Post_ID,Post_Time,Post_Content,Comments_Size,Total_Interactions,Haha,Thích,Buồn,Yêu thích,Thương thương,Wow,Phẫn nộ,Label,Sublabel
0,P_CFS,0,2024-03-08 22:21:00,xin chào các bạn nữ nhân ngày mình chúc các bạn luôn vui_tươi chúc cho thế_giới này mãi xinh_đẹp như các bạn tối nay bạn nữ nào chưa có người_yêu hay mới chia_tay đừng ngần_ngại thả tim cho mình nhé hy_vọng chúng_ta có duyên hy_vọng năm sau thế_giới bớt đi người cô_đơn ps mình thuộc thế_hệ người đà_nẵng nhé yêu các bạn,20,192,47,106,0,37,1,1,0,Ngày lễ,
1,P_CFS,1,2024-03-08 20:33:00,mọi người ơi ai ở trọ mà sắm đồ nội_thất như tủ_lạnh bàn ghế gương thì cẩn_thận nha ạ chuyện là mới_đây em vừa bị lừa cọc tiền huhu em thấy nó đăng bài lên nhóm đồ cũ đà_nẵng em nhắm trúng_tủ_lạnh cánh mà giá chỉ còn rất mới ấy vậy là em liền nhắn_tin để mua trong đầu em chỉ nghĩ là tủ mới như_vậy chắc nhiều người hỏi mua nên em liền cọc để giữ hàng ban_đầu là em thương_lượng xuống nó đồng_ý luôn lúc này em nghĩ em thông_minh xong nó bắt em cọc em lại thương_lượng xuống cọc vì còn là sinh_viên và em đợi nó ship đồ đến nhưng không có gì kết_luận thanh_toán khi nhận hàng nha cả nhà iu em đau_lòng quá vì mình bị ngu học kinh_tế mà ngu quá huhu không tiếc tiền bị lừa mà tiếc tiền học vi_mô vĩ_mô đồ đó mọi người vào chửi em cho em tỉnh_táo với em cảm_ơn mọi người,3,10,0,8,2,0,0,0,0,Cảnh báo,
2,P_CFS,2,2024-03-08 17:31:00,tâm_trạng của ai đó khi đã cố_gắng dành tiền để mua quà tặng bạn gái nhân ngày nhưng vẫn bị cô ấy giận vì không tinh_tế,8,86,43,37,5,1,0,0,0,Tâm sự tình cảm,
3,P_CFS,3,2024-03-07 21:51:00,em viết cfs chỉ có một mong_muốn nhỏ_xíu gửi đến thầy cô khoa luật là thầy cô có_thể cho khóa nào viết cfs chê đề dễ thì bắt khóa đó thi vấn_đáp thôi được không ạ hoặc là cho khóa đó đi thi đừng mang văn_bản pháp_luật cũng được còn em thấy đề thi như_vậy là quá_sức với em rồi em không_thể cố_gắng làm được đề khó hơn được nên là em quỳ lạy van_xin thầy cô đừng bắt em thi vấn_đáp mà cảm_ơn admin đã duyệt,7,132,65,54,11,1,0,0,1,Vấn đề trường,Tổ chức - Giảng dạy
4,P_CFS,4,2024-03-07 16:25:00,của ai lên trường nhận nhé,87,290,186,60,43,1,0,0,0,Tìm đồ,
5,P_CFS,5,2024-03-07 15:30:00,có_thể bạn chưa biết x,4,70,46,22,1,1,0,0,0,Khác,
6,P_CFS,6,2024-03-07 10:00:00,tia chớp lóe ngang ý_tưởng bừng sáng thể_lệ cuộc thi hồ_sơ đăng_ký dự thi link đăng_ký thời_gian đăng_ký từ ngày đến ngày giữa không_trung sâu thẳm kia một tia chớp lóe lên báo_hiệu một điều bất_ngờ đã xuất_hiện_tại thời_điểm này startup runway chính_thức ra_mắt mở ra một chuyến phiêu_lưu mới đầy những điều thú_vị bạn đã sẵn_sàng để bước vào đó chưa thời_khắc quan_trọng đã đến cuộc thi startup runway xin thông_báo mở đơn đăng_ký ý_tưởng trở_lại vô_cùng ấn_tượng với mùa thi thứ viii cuộc thi rất mong_chờ những sáng_kiến độc_đáo đến từ các bạn trẻ từ cấp trung_học phổ_thông đến đại_học trên khắp mọi miền đất_nước với chủ_đề mới_lạ nhưng đầy tính thời_đại toward a new era empowering sustainable entrepreneurship startup runway hy_vọng sẽ trở_thành đại_dương rộng_lớn để các nhà khởi_nghiệp trẻ có_thể thỏa_sức vẫy_vùng cho ra_đời những ý_tưởng kinh_doanh hữu_ích cho xã_hội những vấn_đề về môi_trường xã_hội vẫn luôn là mối quan_tâm hàng_đầu của nhân_loại là thế_hệ trẻ chúng_ta cần tạo ra được những mô_hình nhằm giải_quyết bài_toán cân_bằng giữa lợi_nhuận và sự phát_triển bền_vững của xã_hội startup runway tin rằng chủ_đề này sẽ tạo nên bàn_đạp vững_vàng giúp các đội thi vươn xa hơn trên con đường khởi_nghiệp của chính mình các bạn đã sẵn_sàng để tạo nên những cơn sóng_ngầm mạnh_mẽ trong năm nay chưa hãy bắt_đầu hành_trình của mình và cùng startup runway kiến_tạo nên một kỷ_nguyên bền_vững nhé mọi thắc_mắc xin vui_lòng liên_hệ_số điện_thoại đàm trung việt hồ phan anh thư email fanpage startup runway due group cộng_đồng kết_nối ý_tưởng khởi_nghiệp địa_chỉ văn_phòng đoàn thanh_niên hội sinh_viên phòng trường đại_học kinh_tế đhđn startup startuprunway due toward a new era empowering sustainable entrepreneurship,9,44,0,16,0,26,2,0,0,Sự kiện trường,
7,P_CFS,7,2024-03-06 20:01:00,có ai từng bị xa_lánh vì thái_độ chưa bị lơ khi hỏi chuyện bạn_bè bị á khẩu vì người khác xen ngang cắt lời bị xem như vô_hình trong lớp mình biết mình bị ghét ghét vì thái_độ vô_tâm vô_cảm giờ đến cả những gì mình nói họ cũng không tin đến cả những bài đăng trên confession về lớp lại nghĩ là mình viết mình biết lớp chỉ mong bình an vui_tươi nên tránh mình ra thừa_nhận là mình đã sai vì năm đầu ham làm thêm nên đùn_đẩy chậm_trễ trong làm nhóm và chủ_quan không kiểm_tra mà đăng_ký trùng đề_tài nhóm khác là leader mà kéo điểm cả nhóm xuống nhưng giờ mình chỉ muốn học để tốt_nghiệp thôi mình không có thái_độ gì nữa hết đặc_biệt là không dám cười hay nói gì trong lớp luôn chỉ cúi gằm ôm điện_thoại nhưng vẫn bị nghĩ xấu vì mấy cái tin trên confession đã không có kết_quả mình còn bực_bội để_bụng làm gì lớp cứ bình an tươi_cười không có mình cũng được thân_ái mong là nếu có gặp lại mình có_thể thoải_mái mà cười vì đã nỗ_lực nhiều rồi,5,95,3,62,21,6,2,1,0,Tâm sự tình cảm,
8,P_CFS,8,2024-03-06 19:00:00,góc giải_đáp thắc_mắc và tìm thông_tin,31,25,2,21,0,2,0,0,0,Hỏi-đáp,Khác
9,P_CFS,9,2024-03-06 18:00:00,sắp đến rồi mà chưa biết tặng người_yêu món quà gì các bạn giúp mình với,113,133,38,84,4,6,1,0,0,Hỏi-đáp,Khác
